GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Car Dealership Inventory System,com.dealership.inventory.config,DatabaseSeeder,134,0,4,0,53,0,7,0,5,0
Car Dealership Inventory System,com.dealership.inventory.config,SecurityConfig,0,123,0,0,0,26,0,9,0,9
Car Dealership Inventory System,com.dealership.inventory.config,MongoConfig,3,0,0,0,1,0,1,0,1,0
Car Dealership Inventory System,com.dealership.inventory.security,JwtTokenProvider,0,77,0,0,0,25,0,5,0,5
Car Dealership Inventory System,com.dealership.inventory.security,JwtAuthenticationEntryPoint,0,16,0,0,0,5,0,2,0,2
Car Dealership Inventory System,com.dealership.inventory.security,UserPrincipal,11,32,0,0,5,9,5,4,5,4
Car Dealership Inventory System,com.dealership.inventory.security,CustomUserDetailsService,0,24,0,0,0,6,0,3,0,3
Car Dealership Inventory System,com.dealership.inventory.security,JwtAuthenticationFilter,47,31,6,2,9,12,4,3,0,3
Car Dealership Inventory System,com.dealership.inventory.model,Role,0,15,0,0,0,3,0,1,0,1
Car Dealership Inventory System,com.dealership.inventory,CarDealershipApplication,5,3,0,0,2,1,1,1,1,1
Car Dealership Inventory System,com.dealership.inventory.controller,VehicleController,0,64,0,0,0,15,0,7,0,7
Car Dealership Inventory System,com.dealership.inventory.controller,AnalyticsController,0,11,0,0,0,4,0,2,0,2
Car Dealership Inventory System,com.dealership.inventory.controller,AuthController,0,25,0,0,0,7,0,3,0,3
Car Dealership Inventory System,com.dealership.inventory.controller,PurchaseController,10,101,2,2,1,23,3,6,1,6
Car Dealership Inventory System,com.dealership.inventory.service,PurchaseService,67,116,0,2,10,30,7,4,7,3
Car Dealership Inventory System,com.dealership.inventory.service,VehicleService,176,170,24,0,29,46,18,7,6,7
Car Dealership Inventory System,com.dealership.inventory.service,InvoiceService,4,667,1,3,2,124,1,10,0,9
Car Dealership Inventory System,com.dealership.inventory.service,UserService,12,131,2,4,3,39,2,5,0,4
Car Dealership Inventory System,com.dealership.inventory.service,AnalyticsService,3,292,4,14,0,59,4,26,0,21
Car Dealership Inventory System,com.dealership.inventory.exception,GlobalExceptionHandler,111,24,0,0,39,8,5,2,5,2
Car Dealership Inventory System,com.dealership.inventory.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
Car Dealership Inventory System,com.dealership.inventory.exception,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
Car Dealership Inventory System,com.dealership.inventory.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
